work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2022,SE,FT,Analytics Engineer,231250,USD,231250,US,100,US,M
2023,SE,FT,Data Engineer,226700,USD,226700,US,0,US,M
2023,SE,FT,Data Analyst,106020,USD,106020,US,0,US,M
2023,SE,FT,Data Engineer,165000,USD,165000,US,0,US,M
2023,SE,FT,Data Analyst,120000,USD,120000,US,0,US,M
2023,MI,FT,ML Engineer,147000,USD,147000,US,0,US,M
2022,SE,FT,Analytics Engineer,140000,USD,140000,US,100,US,M
2022,EN,FT,AI Developer,100000,EUR,100000,US,0,US,S
2023,MI,FT,Data Engineer,105000,GBP,100000,GB,0,GB,M
2023,MI,FT,Research Scientist,125000,USD,125000,US,100,US,M
2023,SE,FT,Data Engineer,180000,USD,180000,US,0,US,M
2023,SE,FT,Data Analyst,106020,USD,106020,US,0,US,M
2023,SE,FT,Data Architect,117000,USD,117000,US,100,US,M
2022,MI,FT,Data Scientist,54000,USD,54000,BR,100,BR,M
2022,SE,FT,Data Scientist,175000,USD,175000,US,100,US,M
2023,SE,FT,Data Engineer,231250,USD,231250,US,100,US,M
2020,MI,FT,Data Scientist,100000,USD,100000,US,100,US,S
2023,SE,FT,Applied Scientist,100000,USD,100000,US,0,US,L
2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M
2023,SE,FT,Data Scientist,100000,USD,100000,CA,0,CA,M
2023,MI,FT,Data Analyst,130000,USD,130000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,247500,USD,247500,US,0,US,M
2022,MI,FT,Data Analyst,150000,USD,150000,US,0,US,M
2023,SE,FT,Research Engineer,100000,EUR,100000,DE,100,DE,S
2023,SE,FT,Analytics Engineer,143860,USD,143860,US,0,US,M
2023,SE,FT,BI Analyst,125000,USD,125000,US,0,US,M
2023,SE,FT,Data Scientist,160000,USD,160000,US,0,US,M
2023,SE,FT,Data Analyst,65000,USD,65000,US,0,US,M
2023,SE,FT,Data Analyst,130000,USD,130000,US,100,US,M
2023,SE,FT,Data Analyst,185000,USD,185000,US,100,US,M
2023,MI,FT,Data Infrastructure Engineer,190000,USD,190000,US,0,US,M
2022,MI,FT,Machine Learning Engineer,230000,USD,230000,US,0,US,M
2023,SE,FT,Data Science Lead,156400,USD,156400,US,0,US,M
2021,EN,FT,Big Data Engineer,100000,INR,100000,IN,0,CH,L
2023,SE,FT,Data Analyst,110600,USD,110600,US,0,US,M
2022,SE,FT,Data Engineer,65000,EUR,68293,IT,0,IT,L
2023,SE,FT,Machine Learning Engineer,100000,USD,100000,US,0,US,M
2022,SE,FT,Data Scientist,185900,USD,185900,US,0,US,M
2023,EN,FT,Data Analyst,85000,USD,85000,US,100,US,M
2023,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M
2022,MI,FT,Data Analyst,350000,GBP,100000,GB,0,GB,M
2023,SE,FT,Machine Learning Engineer,184000,USD,184000,US,100,US,M
2023,SE,FT,Data Scientist,154000,USD,154000,US,0,US,M
2023,SE,FT,Analytics Engineer,106000,USD,106000,US,0,US,M
2022,SE,FT,Machine Learning Engineer,120000,USD,120000,US,100,US,M
2022,MI,FT,Data Analyst,65000,USD,65000,US,0,US,M
2023,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M
2022,SE,FT,Data Engineer,85000,USD,85000,US,100,US,M
2023,SE,FT,Data Scientist,245000,USD,245000,US,100,US,M
2023,MI,FT,Data Engineer,100000,USD,100000,US,0,US,M
2022,SE,FT,Data Engineer,35000,EUR,36773,ES,0,ES,M
2022,SE,FT,Data Analyst,169000,USD,169000,US,0,US,M
2022,SE,FT,Data Scientist,191475,USD,191475,US,100,US,M
2023,SE,FT,Data Science Manager,297300,USD,297300,US,100,US,M
2022,SE,FT,Data Engineer,250000,USD,250000,US,0,US,M
2022,EX,FT,Data Engineer,260000,USD,260000,US,100,US,M
2023,SE,FT,Data Scientist,145000,USD,145000,US,100,US,M
2022,SE,FT,Data Scientist,100000,USD,100000,US,0,US,L
2022,SE,FT,Data Scientist,191475,USD,191475,US,100,US,M
2022,SE,FT,Cloud Database Engineer,190000,USD,190000,US,100,US,M
2022,EN,FT,Data Engineer,50000,GBP,61566,GB,100,GB,M
2023,SE,FT,Data Engineer,129000,USD,129000,US,0,US,M
2023,MI,FT,Machine Learning Scientist,220000,USD,220000,US,0,US,M
2022,SE,FT,Data Architect,100000,USD,100000,US,0,US,M
2023,MI,FT,Data Engineer,162500,USD,162500,US,0,US,M
2022,SE,FT,Data Analyst,81666,USD,81666,US,0,US,M
2022,SE,FT,Data Engineer,100000,USD,100000,US,0,US,M
2022,EN,FT,AI Developer,300000,USD,300000,IN,50,IN,L
2023,MI,FT,Data Scientist,100000,USD,100000,US,100,US,M
2023,SE,FT,Research Scientist,100000,USD,100000,ES,0,ES,M
2022,SE,FT,Applied Machine Learning Scientist,100000,EUR,100000,FR,100,GB,L
2023,SE,FT,Machine Learning Engineer,150000,USD,150000,US,0,US,M
2023,SE,FT,Data Scientist,36000,EUR,38631,ES,0,ES,M
2023,SE,FT,Data Engineer,129000,USD,129000,US,0,US,M
2022,SE,FT,Data Architect,190000,USD,190000,US,100,US,M
2023,SE,FT,Data Scientist,190000,USD,190000,CA,0,CA,M
2022,SE,FT,Data Engineer,145000,USD,145000,US,100,US,M
2022,SE,FT,Data Science Lead,165000,USD,165000,US,50,US,S
2021,MI,FT,Data Engineer,140000,USD,140000,US,100,US,L
2022,SE,FT,Data Engineer,100000,USD,100000,US,100,US,L
2022,SE,FT,Data Engineer,190000,USD,190000,US,100,US,M
2023,SE,FT,Data Scientist,183500,USD,183500,US,100,US,M
2023,SE,FT,Data Engineer,168400,USD,168400,US,0,US,M
2022,SE,FT,Data Engineer,60000,EUR,63040,PT,0,PT,M
2022,EN,FT,Data Engineer,135000,USD,135000,US,0,US,M
2023,SE,FT,Data Analyst,100000,INR,100000,IN,100,IN,S
2022,SE,FT,Data Engineer,225000,USD,225000,US,0,US,M
2022,SE,FT,Data Architect,250000,USD,250000,US,0,US,M
2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
2022,MI,FT,Data Analyst,60000,USD,60000,US,100,US,M
2022,SE,FT,Data Engineer,95000,USD,95000,US,0,US,M
2022,SE,FT,Data Analyst,70000,USD,70000,US,0,US,M
2023,EN,FT,Applied Scientist,100000,USD,100000,US,0,US,L
2022,SE,FT,Data Analyst,100000,USD,100000,US,0,US,M
2021,MI,FT,Data Scientist,1250000,INR,100000,IN,100,IN,S
2022,MI,FT,Data Analyst,136000,USD,136000,US,100,US,M
2023,SE,FT,Machine Learning Engineer,100000,USD,100000,US,0,US,M
2023,SE,FT,Data Engineer,160000,USD,160000,US,0,US,M
2023,SE,FT,Data Scientist,252000,USD,252000,US,0,US,M
2023,SE,FT,Data Engineer,107000,USD,100000,US,100,US,M
2022,SE,FT,Machine Learning Engineer,247500,USD,247500,US,0,US,M
2023,SE,FT,Research Scientist,110000,USD,110000,US,100,US,M
2022,SE,FT,Data Engineer,80000,USD,80000,US,0,US,L
2023,SE,FT,Data Engineer,140000,USD,140000,US,0,US,M
2023,SE,FT,Data Analyst,153600,USD,153600,US,0,US,M
2022,SE,FT,Data Scientist,175000,USD,175000,US,100,US,M
2022,SE,FT,Data Engineer,170000,USD,170000,US,100,US,M
2022,MI,FT,Analytics Engineer,85000,USD,85000,US,100,US,M
2022,MI,FT,Data Scientist,120000,USD,120000,US,0,US,M
2023,SE,FT,Data Engineer,75000,USD,75000,US,100,US,M
2023,SE,FT,Data Science Manager,100000,USD,100000,US,0,US,M
2022,SE,FT,Data Analyst,150000,USD,150000,US,0,US,M
2023,SE,FT,Applied Scientist,230000,USD,230000,US,100,US,M
2022,SE,FT,Machine Learning Engineer,60000,EUR,63040,US,50,FI,S
2023,EN,FT,Data Engineer,125000,USD,125000,US,0,US,M
2023,SE,FT,Computer Vision Engineer,100000,USD,100000,US,0,US,M
2023,SE,FT,Data Engineer,100000,USD,100000,US,0,US,M
2023,SE,FT,Data Scientist,130000,USD,130000,US,100,US,M
2023,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M
2023,SE,FT,Data Scientist,170000,USD,170000,US,100,US,M
2022,EX,FT,Analytics Engineer,157000,USD,100000,US,100,US,M
2022,SE,FT,Data Engineer,160000,USD,160000,US,0,US,M
2022,MI,FT,Data Engineer,100000,INR,100000,IN,50,IN,L
2023,SE,FT,Data Scientist,134000,USD,134000,US,0,US,M
2022,SE,FT,Data Engineer,106800,USD,106800,US,0,US,M
2023,MI,FT,Data Manager,135000,USD,135000,US,0,US,M
2023,SE,FT,Data Engineer,165000,USD,165000,US,0,US,M
2021,EN,FT,Machine Learning Developer,15000,USD,15000,TH,100,TH,L
2023,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M
2022,SE,FT,Data Scientist,168000,USD,168000,US,100,US,M
2023,EN,FT,Data Engineer,135000,USD,135000,US,0,US,M
2022,SE,FT,Data Scientist,100000,USD,100000,US,0,US,M
2022,SE,FT,Data Scientist,50000,USD,50000,US,100,US,M
2023,MI,FT,Data Scientist,55000,EUR,100000,ES,0,ES,M
2023,MI,FT,Data Engineer,90000,USD,90000,US,0,US,M
2021,SE,FT,Data Analyst,90000,CAD,100000,CA,100,CA,M
2023,SE,FT,Data Scientist,129300,USD,129300,US,0,US,M
2023,SE,FT,Data Scientist,45000,EUR,48289,ES,0,ES,M
2023,MI,FT,Data Science Consultant,70000,USD,70000,US,0,US,M
2022,SE,FT,Data Scientist,129300,USD,129300,US,0,US,M
2023,SE,FT,Data Scientist,185000,USD,185000,US,0,US,M
2022,SE,FT,Machine Learning Infrastructure Engineer,186000,USD,186000,US,100,US,M
2022,MI,FT,Data Engineer,70000,EUR,73546,GR,100,GR,M
2022,SE,FT,Data Analyst,112900,USD,112900,US,100,US,M
2022,SE,FT,Data Analyst,100000,USD,100000,US,0,US,M
2023,SE,FT,Data Engineer,100000,USD,100000,US,0,US,M
2023,SE,FT,Data Engineer,154000,USD,154000,US,0,US,M
2022,SE,FT,Data Engineer,40000,EUR,42026,ES,0,ES,M
2023,MI,FT,Data Engineer,140000,USD,140000,US,0,US,M
2023,SE,FT,Data Engineer,100000,USD,100000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,161000,GBP,100000,GB,0,GB,M
2022,SE,FT,Data Architect,100000,USD,100000,US,100,US,M
2023,MI,FT,Data Engineer,100000,USD,100000,US,0,US,M
2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M
2022,SE,FT,Analytics Engineer,84000,GBP,100000,GB,0,GB,M
2023,SE,FT,Data Engineer,166000,USD,166000,US,100,US,M
2023,MI,FT,Data Scientist,100000,USD,100000,US,0,US,M
2023,MI,FT,Data Scientist,100000,USD,100000,US,100,US,M
2023,SE,FT,Data Engineer,250000,USD,250000,US,100,US,M
2022,SE,FT,Data Engineer,63000,USD,63000,US,100,US,M
2022,SE,FT,Data Engineer,154600,USD,154600,US,0,US,L
2023,SE,FT,Data Architect,113000,USD,113000,US,0,US,M
2022,MI,FT,Data Analyst,150000,USD,150000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,139500,USD,139500,US,0,US,M
2022,EN,FT,Data Scientist,38000,EUR,100000,FR,50,FR,L
2022,MI,FT,Data Analyst,62000,USD,62000,US,0,US,M
2023,SE,FT,Data Analytics Manager,204500,USD,204500,US,0,US,M
2022,SE,FT,Data Analyst,115000,USD,115000,US,0,US,L
2023,SE,FT,Data Scientist,155000,USD,155000,US,0,US,M
2022,SE,FT,Data Scientist,185900,USD,185900,US,0,US,M
2022,EN,FT,Data Scientist,120000,AUD,100000,AU,50,AU,M
2022,MI,FT,Data Science Manager,159000,USD,159000,US,100,US,M
2023,SE,FT,Data Scientist,120000,USD,120000,US,0,US,M
2022,MI,FT,Data Analyst,105000,USD,105000,US,0,US,M
2023,MI,FT,Data Engineer,95000,USD,95000,US,0,US,M
2023,SE,FT,Data Scientist,100000,USD,100000,US,100,US,M
2022,SE,FT,Data Engineer,155000,USD,155000,US,0,US,M
2023,SE,FT,Data Scientist,225000,USD,225000,US,0,US,M
2022,SE,FT,Data Architect,131300,USD,131300,US,100,US,L
2023,SE,FT,Data Analyst,200000,USD,200000,US,0,US,M
2023,SE,FT,Data Analyst,85000,USD,85000,US,100,US,M
2022,SE,FT,Data Engineer,230000,USD,230000,US,100,US,M
2023,SE,FT,Data Engineer,100000,USD,100000,US,100,US,M
2022,SE,FT,Data Engineer,250000,USD,250000,US,100,US,M
2023,SE,FT,Data Engineer,240000,USD,240000,US,0,US,M
2023,SE,FT,Applied Scientist,350000,USD,100000,US,0,US,L
2022,MI,FT,Data Analyst,167000,USD,167000,US,100,US,M
2023,EN,FT,Data Engineer,90000,USD,90000,US,0,US,M
2022,SE,FT,Data Analyst,110000,USD,110000,US,0,US,M
2022,SE,FT,Analytics Engineer,100000,USD,100000,US,100,US,M
2023,SE,FT,Data Scientist,160000,USD,160000,US,0,US,M
2022,SE,FT,Data Scientist,176000,USD,176000,US,100,US,M
2021,MI,FT,Data Scientist,95000,CAD,100000,CA,100,CA,L
2022,SE,FT,Data Scientist,38000,USD,38000,US,100,US,M
2023,MI,FT,Data Analyst,135000,USD,135000,US,0,US,M
2022,SE,FT,Applied Scientist,100000,USD,100000,US,100,US,M
2023,EN,FT,Data Analyst,70000,USD,70000,US,0,US,M
2023,MI,FT,Data Analyst,80000,USD,80000,US,0,US,M
2023,EN,FT,Data Analyst,75000,USD,75000,US,100,US,M
2022,EN,FT,Data Analyst,48000,USD,48000,US,0,US,M
2023,SE,FT,Data Scientist,105000,USD,105000,US,0,US,M
2022,EN,FT,Machine Learning Scientist,33000,EUR,100000,IT,100,DE,S
2022,MI,FT,Data Engineer,100000,USD,100000,US,0,US,M
2022,EN,FT,Data Scientist,180000,USD,180000,US,100,US,M
2021,SE,CT,Data Engineer,105000,USD,105000,US,100,US,M
2022,SE,FT,Data Scientist,141525,USD,141525,US,100,US,M
2023,SE,FT,Data Engineer,100000,USD,100000,US,100,US,M
2022,EN,FT,Data Analyst,52000,USD,100000,CA,0,CA,M
2020,MI,FT,BI Data Analyst,98000,USD,98000,US,0,US,M
2023,SE,FT,Data Manager,48000,USD,48000,CO,0,CO,M
2022,SE,FT,Data Analyst,110600,USD,110600,US,0,US,M
2022,SE,FT,Machine Learning Infrastructure Engineer,148800,USD,148800,US,100,US,M
2023,SE,FT,Data Engineer,100000,USD,100000,US,100,US,M
2021,EN,FT,Machine Learning Engineer,100000,USD,100000,CO,50,CO,M
2022,MI,FT,Head of Data,30000,EUR,31520,US,100,US,S
2023,SE,FT,Data Engineer,160000,USD,160000,US,100,US,M
2023,SE,FT,Data Engineer,250000,USD,250000,US,0,US,M
2022,SE,FT,Data Engineer,95000,USD,95000,US,0,US,M
2022,SE,FT,Data Engineer,130000,USD,130000,US,100,US,M
2023,MI,FT,Data Infrastructure Engineer,190000,USD,190000,US,100,US,M
2022,SE,FT,Data Engineer,140250,USD,140250,US,100,US,M
2022,MI,FT,Data Engineer,80000,EUR,84053,ES,100,ES,M
2022,SE,FT,Business Data Analyst,100000,USD,100000,US,100,US,L
2022,SE,FT,Analytics Engineer,250000,USD,250000,US,0,US,M
2022,SE,FT,Lead Data Scientist,100000,INR,100000,IN,0,IN,L
2023,MI,FT,Machine Learning Engineer,36000,USD,100000,MX,100,MX,S
2023,SE,FT,Data Scientist,205000,USD,205000,US,100,US,M
2023,SE,FT,Data Analyst,105500,USD,105500,US,0,US,M
2022,MI,FT,Data Scientist,155000,USD,155000,US,100,US,L
2022,SE,FT,Machine Learning Engineer,100000,USD,100000,US,100,US,M
2022,SE,FT,Data Scientist,185900,USD,185900,US,0,US,M
2023,SE,FT,Data Analyst,120000,USD,120000,US,100,US,M
2023,SE,FT,Applied Scientist,72000,USD,72000,US,0,US,L
2022,SE,FT,Data Scientist,230000,USD,230000,US,100,US,M
2023,SE,FT,Data Manager,105200,USD,105200,US,0,US,M
2022,SE,FT,Data Analyst,105000,USD,105000,US,100,US,M
2022,SE,FT,Data Analyst,130000,USD,130000,US,0,US,M
2020,MI,FT,Data Analyst,100000,EUR,100000,FR,50,FR,L
2022,SE,FT,Data Engineer,115000,USD,115000,US,0,US,M
2023,SE,FT,Computer Vision Engineer,215000,USD,215000,US,0,US,M
2022,SE,FT,Data Scientist,146000,USD,146000,US,100,US,M
2022,SE,FT,Data Engineer,50000,GBP,61566,GB,100,GB,M
2022,SE,FT,Data Scientist,225000,USD,225000,US,0,US,M
2023,SE,FT,Data Scientist,36000,EUR,38631,ES,0,ES,M
2022,SE,FT,Data Scientist,100000,USD,100000,US,100,US,M
2023,SE,FT,Data Engineer,63000,USD,63000,US,100,US,M
2023,SE,FT,Data Scientist,170000,USD,170000,US,0,US,M
2023,SE,FT,Data Architect,168400,USD,168400,US,0,US,M
2023,SE,FT,Data Architect,115000,USD,115000,US,100,US,M
2023,SE,FT,Data Engineer,80000,USD,80000,US,0,US,M
